res_type,rotamer,frequency%,chi1_mean,chi2_mean,chi3_mean,chi4_mean
VAL,t,73,175,,,
VAL,m,20,-64,,,
VAL,p,6,63,,,
TYR,m-85,43,-65,-87.0,,
TYR,t80,34,176,77.0,,
TYR,p90,13,63,89.0,,
TYR,m-30,9,-64,-42.0,,
TRP,m95,32,-69,95.0,,
TRP,t90,18,-178,88.0,,
TRP,t-105,16,178,-105.0,,
TRP,p-90,11,58,-87.0,,
TRP,m0,8,-66,-4.0,,
TRP,p90,6,60,92.0,,
TRP,m-90,5,-70,-87.0,,
THR,p,49,59,,,
THR,m,43,-61,,,
THR,t,7,-171,,,
SER,p,48,64,,,
SER,m,29,-65,,,
SER,t,22,178,,,
PRO,Cg endo,44,30,,,
PRO,Cg exo,43,-29,,,
PRO,cis Cg endo,6,31,,,
PHE,m-85,44,-64,-83.0,,
PHE,t80,33,177,80.0,,
PHE,p90,13,59,88.0,,
PHE,m-30,9,-64,-19.0,,
MET,mmm,19,-66,-60.0,-67.0,
MET,mtp,17,-68,177.0,72.0,
MET,mtm,11,-67,-177.0,-76.0,
MET,mtt,8,-67,177.0,-178.0,
MET,ttm,7,-177,176.0,-78.0,
MET,ttp,5,176,178.0,73.0,
MET,tpp,5,-177,66.0,75.0,
MET,ttt,3,180,171.0,174.0,
MET,mmp,3,-64,-63.0,103.0,
MET,ptm,3,67,174.0,-78.0,
MET,ptp,2,68,-167.0,88.0,
MET,mmt,2,-63,-64.0,180.0,
MET,tpt,2,179,67.0,-179.0,
LYS,mttt,20,-67,176.0,179.0,177.0
LYS,tttt,13,-177,178.0,179.0,180.0
LYS,mmtt,6,-58,-61.0,-177.0,-179.0
LYS,mttm,5,-67,-179.0,-179.0,-63.0
LYS,tttp,4,-177,180.0,171.0,63.0
LYS,mtmt,3,-70,-170.0,-66.0,-175.0
LYS,mttp,3,-67,-176.0,174.0,76.0
LYS,tttm,3,-177,172.0,178.0,-72.0
LYS,mtpt,3,-69,164.0,62.0,-179.0
LYS,tptt,3,179,62.0,173.0,171.0
LYS,ttpt,2,180,179.0,78.0,179.0
LYS,ttmt,2,-175,-174.0,-69.0,179.0
LYS,pttt,2,63,-178.0,178.0,-179.0
LYS,mtpp,1,-69,-179.0,70.0,67.0
LYS,ptpt,1,62,180.0,68.0,180.0
LYS,ttpp,1,-177,180.0,68.0,65.0
LYS,tptm,1,-177,68.0,180.0,-65.0
LYS,tptp,1,179,59.0,163.0,60.0
LYS,pttm,1,62,180.0,180.0,-65.0
LYS,mtmm,1,-70,-179.0,-66.0,-64.0
LYS,mmtp,1,-62,-68.0,180.0,65.0
LYS,pttp,1,63,-170.0,-177.0,72.0
LYS,mmtm,1,-59,-69.0,-176.0,-70.0
LYS,mmmt,1,-59,-58.0,-75.0,-174.0
LEU,mt,59,-65,174.0,,
LEU,tp,29,177,63.0,,
LEU,tt,2,-172,147.0,,
LEU,mp,2,-85,66.0,,
LEU,pp,1,62,80.0,,
ILE,mt,60,-66,169.0,,
ILE,mm,15,-57,-59.0,,
ILE,pt,13,61,171.0,,
ILE,tt,8,-174,167.0,,
ILE,tp,2,-169,66.0,,
ILE,mp,1,-65,100.0,,
ILE,pp,1,62,100.0,,
HIS,m-70,29,-60,-70.0,,
HIS,t60,16,-178,60.0,,
HIS,m80,13,-66,80.0,,
HIS,t-80,11,-173,-80.0,,
HIS,p-80,9,60,-75.0,,
HIS,m170,7,-63,165.0,,
HIS,t-160,5,-178,-165.0,,
HIS,p80,4,61,80.0,,
GLU,mt-10,33,-67,177.0,-10.0,
GLU,tt0,24,-177,178.0,2.0,
GLU,mm-40,13,-65,-58.0,-40.0,
GLU,mp0,6,-65,85.0,-3.0,
GLU,tp10,6,-177,65.0,13.0,
GLU,pt-20,5,63,-175.0,-18.0,
GLU,pm0,2,71,-79.0,5.0,
GLU,tm-20,1,-177,-80.0,-25.0,
GLN,mt-30,35,-67,177.0,-25.0,
GLN,tt0,16,-174,173.0,-5.0,
GLN,mm-40,15,-66,-60.0,-40.0,
GLN,tp60,9,-175,64.0,60.0,
GLN,pt20,4,64,180.0,20.0,
GLN,mm100,3,-65,-65.0,100.0,
GLN,mp0,3,-65,65.0,0.0,
GLN,tp-100,2,-177,65.0,-100.0,
GLN,pm0,2,70,-75.0,0.0,
CYS,m,142,-65,,,
CYS,t,74,-177,,,
CYS,p,64,55,,,
ASP,m-20,51,-71,-15.0,,
ASP,t0,21,-176,1.0,,
ASP,p-10,10,61,-4.0,,
ASP,p30,9,65,9.0,,
ASP,t70,6,-179,65.0,,
ASN,m-20,39,-71,-23.0,,
